Data,Não indexadas,Indexados,Impressões
2026-06-16,,,6
2026-06-17,,,3
2026-06-18,,,1
2026-06-19,,,0
2026-06-20,,,3
2026-06-21,,,2
2026-06-22,,,1
2026-06-23,,,1
2026-06-24,,,3
2026-06-25,,,3
2026-06-26,,,8
2026-06-27,,,3
2026-06-28,,,1
2026-06-29,,,2
2026-06-30,3,1,1
2026-07-01,3,1,1
2026-07-02,3,1,5
2026-07-03,3,1,7
2026-07-04,3,1,2
2026-07-05,3,1,5
2026-07-06,3,1,5
2026-07-07,3,1,2
2026-07-08,3,1,1
2026-07-09,3,1,7
2026-07-10,3,1,5
2026-07-11,3,1,0
2026-07-12,3,1,9
2026-07-13,3,1,10
2026-07-14,3,1,7
2026-07-15,3,1,5
2026-07-16,3,1,5
2026-07-17,3,1,6
2026-07-18,3,1,9
2026-07-19,3,1,5
2026-07-20,3,1,3
2026-07-21,3,1,2
2026-07-22,3,1,1
2026-07-23,3,1,2
2026-07-24,3,1,1
2026-07-25,3,1,4
2026-07-26,3,1,2
2026-07-27,3,1,2
2026-07-28,3,1,1
2026-07-29,3,1,1
2026-07-30,3,1,16
2026-07-31,3,1,1
2026-08-01,3,1,3
2026-08-02,3,1,3
2026-08-03,3,1,4
2026-08-04,3,1,3
2026-08-05,3,1,7
2026-08-06,3,1,1
2026-08-07,3,1,5
2026-08-08,3,1,4
2026-08-09,3,1,3
2026-08-10,3,1,8
2026-08-11,3,1,2
2026-08-12,3,1,5
2026-08-13,3,1,2
2026-08-14,3,1,6
2026-08-15,3,1,3
2026-08-16,3,1,4
2026-08-17,3,1,0
2026-08-18,3,1,1
2026-08-19,3,1,1
2026-08-20,3,1,1
2026-08-21,3,1,10
2026-08-22,3,1,4
2026-08-23,3,1,1
2026-08-24,3,1,3
2026-08-25,3,1,12
2026-08-26,3,1,4
2026-08-27,3,1,7
2026-08-28,3,1,4
2026-08-29,3,1,6
2026-08-30,3,1,4
2026-08-31,3,1,5
2026-09-01,3,1,0
2026-09-02,3,1,1
2026-09-03,3,1,4
2026-09-04,3,1,5
