Data,Cliques,Impressões,CTR,Posição
2026-02-02,0,1,0%,7
2026-02-03,2,6,33.33%,5.2
2026-02-04,1,1,100%,3
2026-02-05,0,0,,
2026-02-06,0,0,,
2026-02-07,0,0,,
2026-02-08,0,0,,
2026-02-09,0,1,0%,12
2026-02-10,0,0,,
2026-02-11,0,1,0%,2
2026-02-12,0,0,,
2026-02-13,0,1,0%,4
2026-02-14,0,3,0%,8.3
2026-02-15,0,2,0%,10
2026-02-16,0,0,,
2026-02-17,1,2,50%,5.5
2026-02-18,0,0,,
2026-02-19,1,1,100%,1
2026-02-20,0,1,0%,8
2026-02-21,0,0,,
2026-02-22,0,1,0%,5
2026-02-23,0,3,0%,4
2026-02-24,0,1,0%,3
2026-02-25,0,0,,
2026-02-26,0,0,,
2026-02-27,0,0,,
2026-02-28,0,2,0%,5
2026-03-01,0,0,,
2026-03-02,0,0,,
2026-03-03,0,1,0%,8
2026-03-04,0,1,0%,9
2026-03-05,0,0,,
2026-03-06,0,0,,
2026-03-07,0,1,0%,10
2026-03-08,0,0,,
2026-03-09,0,0,,
2026-03-10,0,4,0%,4.8
2026-03-11,0,1,0%,8
2026-03-12,0,0,,
2026-03-13,0,1,0%,11
2026-03-14,0,0,,
2026-03-15,0,2,0%,8.5
2026-03-16,0,2,0%,6.5
2026-03-17,0,0,,
2026-03-18,0,0,,
2026-03-19,0,0,,
2026-03-20,0,1,0%,7
2026-03-21,0,0,,
2026-03-22,0,8,0%,1.5
2026-03-23,0,0,,
2026-03-24,0,0,,
2026-03-25,0,0,,
2026-03-26,0,0,,
2026-03-27,0,0,,
2026-03-28,0,1,0%,3
2026-03-29,0,1,0%,6
2026-03-30,0,0,,
2026-03-31,1,2,50%,2.5
2026-04-01,0,1,0%,5
2026-04-02,0,0,,
2026-04-03,0,0,,
2026-04-04,0,0,,
2026-04-05,0,17,0%,4.6
2026-04-06,0,6,0%,6.5
2026-04-07,0,1,0%,5
2026-04-08,0,0,,
2026-04-09,0,0,,
2026-04-10,0,2,0%,7.5
2026-04-11,0,0,,
2026-04-12,1,1,100%,2
2026-04-13,1,1,100%,4
2026-04-14,0,0,,
2026-04-15,0,0,,
2026-04-16,0,1,0%,9
2026-04-17,0,3,0%,7
2026-04-18,0,0,,
2026-04-19,0,0,,
2026-04-20,0,1,0%,1
2026-04-21,0,1,0%,1
2026-04-22,0,2,0%,7
2026-04-23,0,0,,
2026-04-24,0,0,,
2026-04-25,0,0,,
2026-04-26,0,1,0%,9
2026-04-27,1,2,50%,4.5
2026-04-28,0,2,0%,9
2026-04-29,0,0,,
2026-04-30,0,1,0%,9
2026-05-01,1,1,100%,4
2026-05-02,0,1,0%,11
2026-05-03,0,1,0%,11
2026-05-04,0,1,0%,1
2026-05-05,0,3,0%,7.3
2026-05-06,0,1,0%,7
2026-05-07,0,1,0%,5
2026-05-08,0,0,,
2026-05-09,0,0,,
2026-05-10,0,0,,
2026-05-11,0,5,0%,4.4
2026-05-12,0,2,0%,8.5
2026-05-13,1,4,25%,5
2026-05-14,0,0,,
2026-05-15,0,1,0%,10
2026-05-16,0,2,0%,11.5
2026-05-17,0,0,,
2026-05-18,0,0,,
2026-05-19,0,0,,
2026-05-20,0,0,,
2026-05-21,1,1,100%,1
2026-05-22,0,1,0%,7
2026-05-23,0,0,,
2026-05-24,0,0,,
2026-05-25,1,2,50%,5.5
2026-05-26,1,1,100%,1
2026-05-27,0,2,0%,7.5
2026-05-28,0,1,0%,8
2026-05-29,0,2,0%,11
2026-05-30,0,6,0%,8.5
2026-05-31,0,4,0%,30.8
2026-06-01,0,1,0%,11
2026-06-02,0,4,0%,13.2
2026-06-03,0,3,0%,6.7
2026-06-04,0,5,0%,5
2026-06-05,0,6,0%,10.3
2026-06-06,0,8,0%,8.5
2026-06-07,0,3,0%,8.7
2026-06-08,0,6,0%,4.7
2026-06-09,0,1,0%,11
2026-06-10,0,2,0%,9
2026-06-11,1,2,50%,5
2026-06-12,2,5,40%,5.2
2026-06-13,0,3,0%,9.7
2026-06-14,0,4,0%,8.5
2026-06-15,0,5,0%,6.6
2026-06-16,1,6,16.67%,4.8
2026-06-17,0,3,0%,7.3
2026-06-18,0,1,0%,5
2026-06-19,0,0,,
2026-06-20,0,3,0%,10.7
2026-06-21,0,2,0%,8.5
2026-06-22,0,1,0%,5
2026-06-23,0,1,0%,10
2026-06-24,0,3,0%,4
2026-06-25,0,3,0%,11.3
2026-06-26,0,8,0%,41.2
2026-06-27,0,3,0%,10.3
2026-06-28,0,1,0%,11
2026-06-29,0,2,0%,11.5
2026-06-30,0,1,0%,3
2026-07-01,0,1,0%,13
2026-07-02,0,5,0%,7.8
2026-07-03,0,7,0%,7.1
2026-07-04,0,2,0%,7.5
2026-07-05,0,5,0%,7.2
2026-07-06,0,5,0%,4.2
2026-07-07,0,2,0%,10.5
2026-07-08,0,1,0%,8
2026-07-09,0,7,0%,10.4
2026-07-10,0,5,0%,10.6
2026-07-11,0,0,,
2026-07-12,0,9,0%,7.1
2026-07-13,0,10,0%,12.4
2026-07-14,0,7,0%,10
2026-07-15,1,5,20%,7.8
2026-07-16,0,5,0%,12.4
2026-07-17,0,6,0%,6.3
2026-07-18,0,9,0%,8.2
2026-07-19,0,5,0%,9.8
2026-07-20,0,3,0%,6.7
2026-07-21,0,2,0%,10.5
2026-07-22,0,1,0%,10
2026-07-23,0,2,0%,9
2026-07-24,0,1,0%,5
2026-07-25,0,4,0%,9.5
2026-07-26,0,2,0%,12.5
2026-07-27,0,2,0%,11
2026-07-28,0,1,0%,10
