País,Cliques,Impressões,CTR,Posição
Alemanha,21,413,5.08%,13.45
França,2,16,12.5%,5.75
República Tcheca,1,1,100%,4
Estados Unidos,0,22,0%,5.55
Suíça,0,14,0%,9.86
Brasil,0,7,0%,6.86
Reino Unido,0,6,0%,6.5
Países Baixos,0,5,0%,4.6
Portugal,0,5,0%,5.4
Bélgica,0,5,0%,6.2
Itália,0,4,0%,8.25
Croácia,0,3,0%,7
Áustria,0,3,0%,8.67
Suécia,0,3,0%,10
Venezuela,0,2,0%,2
Espanha,0,2,0%,6.5
Grécia,0,2,0%,6.5
Tailândia,0,2,0%,7
Finlândia,0,2,0%,8
Indonésia,0,2,0%,9
África do Sul,0,2,0%,9
Iraque,0,2,0%,27.5
Canadá,0,1,0%,4
Argentina,0,1,0%,7
Rússia,0,1,0%,7
Albânia,0,1,0%,8
Austrália,0,1,0%,8
Angola,0,1,0%,11
Peru,0,1,0%,11
Dinamarca,0,1,0%,12
Liechtenstein,0,1,0%,13
Filipinas,0,1,0%,28
Malásia,0,1,0%,41
Bangladesh,0,1,0%,47
Índia,0,1,0%,61
Vietnã,0,1,0%,79
